epoch,train_silog,val_silog,val_absrel,val_rmse,val_rmse_log,val_delta1,val_delta2,val_delta3,epoch_time_sec,gpu_peak_mb
0,0.047395,0.046503,0.171045,0.632229,0.225390,0.706789,0.944666,0.990869,1240.263,6618.6
1,0.026663,0.039888,0.168786,0.584171,0.207823,0.763608,0.953537,0.990323,1246.141,6614.8
2,0.020418,0.038435,0.153385,0.608897,0.212269,0.742998,0.952448,0.992492,1244.318,6614.8
3,0.016756,0.037005,0.149887,0.620255,0.205034,0.759587,0.956746,0.992990,1237.387,6614.8
4,0.014785,0.036189,0.150294,0.553003,0.193564,0.793653,0.962834,0.992714,1234.815,6614.8
5,0.013109,0.035045,0.143300,0.556139,0.190661,0.801563,0.964068,0.992891,1240.106,6614.8
6,0.012344,0.035629,0.144150,0.584977,0.196344,0.785646,0.960630,0.992716,1236.440,6614.8
7,0.010781,0.034194,0.139908,0.563498,0.189830,0.802636,0.963451,0.993567,1238.053,6614.8
8,0.009807,0.034537,0.142646,0.563913,0.192605,0.793387,0.962616,0.993618,1238.280,6614.8
9,0.008577,0.033414,0.138886,0.536953,0.185421,0.816644,0.965219,0.993436,1238.599,6614.8
10,0.007661,0.033820,0.139183,0.550515,0.187234,0.810728,0.964607,0.993278,1238.301,6614.8
11,0.007364,0.033363,0.147934,0.536092,0.188961,0.806036,0.965365,0.992620,1236.678,6614.8
12,0.006831,0.033840,0.138057,0.557618,0.188338,0.808218,0.964334,0.993326,1237.449,6614.8
13,0.006642,0.032762,0.137012,0.542249,0.184586,0.815230,0.966462,0.993847,1241.355,6614.8
14,0.006154,0.033793,0.139690,0.558797,0.189016,0.805025,0.963919,0.993555,1236.052,6614.8
15,0.005728,0.032762,0.136989,0.543771,0.185176,0.814195,0.966296,0.993647,1240.591,6614.8
