epoch,train_silog,val_silog,val_absrel,val_rmse,val_rmse_log,val_delta1,val_delta2,val_delta3,epoch_time_sec,gpu_peak_mb
0,0.031194,0.030589,0.134244,0.509705,0.175817,0.829902,0.973881,0.995284,1853.760,9399.1
1,0.016685,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1813.638,9398.8
2,0.016119,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.633,9398.8
3,0.016085,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.589,9398.8
4,0.016111,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.257,9398.8
5,0.016106,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.630,9398.8
6,0.016099,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.800,9398.8
7,0.016101,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.511,9398.8
8,0.016130,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.587,9398.8
9,0.016099,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.384,9398.8
10,0.016102,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.264,9398.8
11,0.016122,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.869,9398.8
12,0.016105,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.025,9398.8
13,0.016121,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.212,9398.8
14,0.016110,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.143,9398.8
15,0.016105,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.142,9398.8
16,0.016094,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.860,9398.8
17,0.016088,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.504,9398.8
18,0.016117,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.698,9398.8
19,0.016084,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.367,9398.8
20,0.016102,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.947,9398.8
21,0.016111,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.479,9398.8
22,0.016105,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.576,9398.8
23,0.016110,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.051,9398.8
24,0.016130,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1751.004,9398.8
25,0.016108,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.111,9398.8
26,0.016130,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.671,9398.8
27,0.016104,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.980,9398.8
28,0.016110,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1750.893,9398.8
29,0.016110,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.258,9398.8
30,0.016114,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.655,9398.8
31,0.016113,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.714,9398.8
32,0.016084,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.965,9398.8
33,0.016119,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.727,9398.8
34,0.016112,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.821,9398.8
35,0.016122,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.759,9398.8
36,0.016114,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.406,9398.8
37,0.016116,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.568,9398.8
38,0.016134,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.659,9398.8
39,0.016115,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.787,9398.8
40,0.016098,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.994,9398.8
41,0.016104,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.973,9398.8
42,0.016105,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.391,9398.8
43,0.016118,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1749.589,9398.8
44,0.016084,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1748.381,9398.8
45,0.016102,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.253,9398.8
46,0.016092,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.209,9398.8
47,0.016110,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.421,9398.8
48,0.016098,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1746.283,9398.8
49,0.016095,0.030079,0.130926,0.512777,0.174604,0.833229,0.974102,0.995001,1747.247,9398.8
